eButterfly_species,GBIF_species,GBIF_verbatimScientificName,LepTraits_name,BAMONA_name,Chowdhury_name,aveWingspan,black,gray,white,brown,red,orange,yellow,green,blue,pink,purple,eyespot,stripe,checker,tail,band,spot,colorDiversity,featureDiversity,is_migratory,notes
Callophrys eryphon,Incisalia eryphon,,Callophrys eryphon,Callophrys eryphon,,2.7626,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,FALSE,
,Callophrys dumetorum,,Callophrys dumetorum,Callophrys dumetorum,,2.5985,,,,,,,,,,,,0,0,0,0,0,0,,0,,
,Callophrys viridis,,Callophrys dumetorum,Callophrys dumetorum,,2.5985,,,,,,,,,,,,0,0,0,0,0,0,,0,,
Callophrys gryneus,"Mitoura gryneus, Mitoura nelsoni, Mitoura rosneri",,Callophrys gryneus,Callophrys gryneus,,2.56331,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Callophrys henrici,Incisalia henrici,,Callophrys henrici,Callophrus henrici,,2.525,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,3,2,FALSE,
Callophrys irus,"Thecla irus, Incisalia hadros",,Callophrys irus,Callophrys irus,,2.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,FALSE,
Callophrys lanoraieensis,Incisalia lanoraieensis,,Callophrys lanoraieensis,Callophrys lanoraieensis,,2.025,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
Callophrys niphon,Incisalia niphon,,Callophrys niphon,,,2.7125,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,FALSE,
Callophrys polios,Callophrys polios,,Callophrys polios,,,2.35,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,FALSE,
Callophrys sheridanii,Thecla sheridanii,,Callophrys sheridanii,,,2.166666667,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,FALSE,
Calpodes ethlius,Calpodes ethlius,,Calpodes ethlius,,,4.795833334,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,TRUE,
Calycopis cecrops,Calycopis cecrops,,Calycopis cecrops,,,2.5125,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,6,1,FALSE,
Calycopis isobeon,Calycopis isobeon,,Calycopis isobeon,,,2.75,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,5,3,FALSE,
Caria ino,,"Caria ino, Caria ino ino, Caria ino melicerta",Caria ino,,,2.2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,3,2,FALSE,
Carterocephalus palaemon,,"Carterocephalus mandan, Carterocephalus mandan mandan, Carterocephalus skada, Carterocephalus skada magnus, Carterocephalus skada skada",Carterocephalus palaemon,,,2.627778,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Celastrina echo,,"Celastrina echo, Celastrina echo cinerea, Celastrina echo echo, Celastrina echo gozora, Celastrina echo nigrescens, Celastrina echo sidara",Celastrina echo,,,2.627777778,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,FALSE,
Celastrina ladon,Celastrina ladon,Celastrina ladon,Celastrina ladon,,,2.66,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,FALSE,
Celastrina lucia,Celastrina lucia,,Celastrina lucia,,,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
Celastrina neglecta,Cyaniris neglecta,,Celastrina neglecta,Celastrina neglecta,,2.61385,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,FALSE,
Celastrina neglectamajor,Celastrina neglectamajor,,,,,3.35,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,FALSE,
Cercyonis oetus,Cercyonis oetus,,,,,4.05,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,3,FALSE,
Cercyonis pegala,Cercyonis pegala,,,,,5.641666667,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,4,2,FALSE,
Cercyonis sthenele,"Cercyonis sthenele, Cercyonis paulus",,,,,4.016666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,FALSE,
Chioides albofasciatus,,Chioides albofasciatus,Chioides albofasciatus,Chioides albofasciatus,,4.283333334,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,FALSE,
Chioides albofasciatus,Chiodes catillus,Chioides albofasciatus,Chioides albofasciatus,Chioides albofasciatus,,4.283333334,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,FALSE,
Chiomara georgina,,"Chiomara georgina, Chiomara georgina georgina, Chiomara georgina pelagica",,,,3.025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
Chlorostrymon simaethis,"Chlorostrymon simaethis, Thecla sarita",,,,,2.372857143,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,5,1,FALSE,
Chlosyne acastus,"Chlosyne acastus, Chlosyne sterope",,,,,3.87,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,5,3,FALSE,
,Chlosyne gabbii,,Chlosyne gabbii,Chlosyne gabbii,,3.75,,,,,,,,,,,,,0,1,0,1,1,,3,,
Chlosyne gorgone,Chlosyne gorgone,,,,,3.5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Chlosyne harrisii,Chlosyne harrisii,,,,,3.8,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,4,2,FALSE,
Chlosyne janais,Chlosyne janais,,,,,5.6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Chlosyne lacinia,Chlosyne lacinia,,,,,4.305,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,5,2,FALSE,
Chlosyne nycteis,Chlosyne nycteis,,,,,4.1125,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Chlosyne palla,,"Chlosyne palla, Chlosyne palla eremita, Chlosyne palla flavula",,,,3.75,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,2,FALSE,
Chlosyne theona,Thessalia theona,,Chlosyne theona,Chlosyne theona,,3.46665,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,3,4,FALSE,
Coenonympha tullia,Coenonympha california,,,,,3.25,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,5,2,FALSE,
Cogia hippalus,Cogia hippalus,,,,,3.95,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,4,3,FALSE,
Colias alexandra,Colias alexandra,,,,,4.085,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,1,TRUE,
Colias christina,Colias christina,,,,,4.03,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,7,0,FALSE,
Colias eurytheme,Colias eurytheme,,,,,5.114285714,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,TRUE,
Colias gigantea,Colias gigantea,,,,,NA,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Colias interior,Colias interior,,,,,4.7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,1,FALSE,
Colias palaeno,Colias palaeno,,,,,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,
Colias philodice,Colias philodice,,,,,5.3,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6,1,TRUE,
Copaeodes aurantiaca,Copaeodes aurantiaca,,,,,2.65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Copaeodes minima,Copaeodes minima,,,,,1.7625,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,FALSE,
Copaeodes minima,Oarisma minima,,,,,1.7625,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,FALSE,
Cupido amyntula,"Elkalyce amyntula, Everes amyntula",,Cupido amyntula,Cupido amyntula,,2.58,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,5,2,FALSE,
Cupido comyntas,"Elkalyce comyntas, Elkalyce texana",,Cupido comyntas,Cupido comyntas,,2.36428,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,5,2,FALSE,
Cyllopsis gemma,Euptychia cornelius,,,,,3.8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,FALSE,
Cymaenes trebius,Cymaenes trebius,,,,,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,FALSE,
Danaus eresimus,Danaus eresimus,,,,,7.281111111,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,2,TRUE,
Danaus gilippus,Danaus gilippus,,,,,7.84375,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,TRUE,
Danaus plexippus,Danaus plexippus,,,,,9.43125,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,TRUE,
Dryas iulia,Dryas iulia,,,,,7.857321429,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,TRUE,
Dymasia dymas,Dymasia dymas,,,,,2.616666667,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,FALSE,
Echinargus isola,Echinargus isola,,,,,2.1375,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,TRUE,
Epargyreus clarus,Epargyreus clarus,,,,,4.878863637,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,TRUE,
Erebia discoidalis,Erebia discoidalis,,,,,4.05,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,2,FALSE,
Erebia epipsodea,Erebia epipsodea,,,,,4.71,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,7,2,FALSE,
Erebia mancinus,Erebia mancinus,,,,,4.31875,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,7,1,FALSE,
Erynnis baptisiae,Erynnis baptisiae,,,,,3.506488095,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
