locality,scientificName,scientificNameAuthorship,vernacularName,taxonRank,establishmentMeans,degreeOfEstablishment,isHybrid,pathway,habitat,Biocontrol,associatedTaxa,eventRemarks,IntroDateNumber,taxonRemarks,kingdom,phylum,class,order,family,taxonomicStatus,ITIS_TSN,GBIF_taxonKey,taxonID,Authority,WebLink,associatedReferences,eventDate,modified,Update_Remarks,occurrenceRemarks,occurrenceID
L48,Stenolechia bathrodyas,"Meyrick, 1935",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1980,1980,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,1852417,https://www.gbif.org/species/1852417,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15257
L48,Stylopalpia luniferella,"Hampson, 1901",Pyralid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1985,1985,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1877612,https://www.gbif.org/species/1877612,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15270
L48,Swammerdamia caesiella,"(Hübner, 1796)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1911 (Seebens (2021)),1911,,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Accepted GBIF,,1830359,https://www.gbif.org/species/1830359,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2022-03-28,Added eventRemarks; Added scientificNameAuthorship,,USRIIS-L48-Animalia5747
L48,Swammerdamia pyrella,"(de Villers, 1789)",Little ermine moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1910,1910,Other name(s): Phalaena pyrella; Swammerdamia caesia; Tinea cerasiella,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Accepted GBIF,,1830372,https://www.gbif.org/species/1830372,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2022-08-03,"Corrected scientificNameAuthorship, Changed vernacularName, Added taxonRemarks",,USRIIS-L48-Animalia5749
L48,Symmetrischema capsica,"Bradley and Povolny, 1965",Pepper flowerbud moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1986,1986,Other name(s): Symmetrischema capsicum,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,1850169,https://www.gbif.org/species/1850169,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2017-01-03,2021-10-29,Added scientificNameAuthorship; Updated websiteURL,,USRIIS-L48-Animalia4764
L48,Symmetrischema tangolias,"Gyen, 1913",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,1850156,https://www.gbif.org/species/1850156,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15272
L48,Synanthedon myopaeformis,"(Borkhausen, 1789)",Small red-belted clearwing,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 2007,2007,,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Accepted GBIF,,4525777,https://www.gbif.org/species/4525777,Noma et al. (2010),https://www.canr.msu.edu/ipm/uploads/files/Forecasting_invasion_risks/redbeltedClearwig.pdf,"Noma et al. (2010), https://www.canr.msu.edu/ipm/uploads/files/Forecasting_invasion_risks/redbeltedClearwig.pdf",2012-06-26,2021-10-29,"Added scientificNameAuthorship; Changed Authority and updated record, including IntroDateNumber",,USRIIS-L48-Animalia445
L48,Synanthedon tipuliformis,"(Clerck, 1759)",Currant borer,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1825,1825,,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Accepted GBIF,,1940575,https://www.gbif.org/species/1940575,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5750
L48,Syngrapha interrogationis,"(Linnaeus, 1758)",Cutworm,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,188997,8292872,https://www.gbif.org/species/8292872,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2017-07-14,,,USRIIS-L48-Animalia5751
L48,Tathorhynchus exsiccata,"(Lederer, 1855)",Levant blackneck moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,940588,1765751,https://www.gbif.org/species/1765751,Zahini et al. (2017),https://doi.org/10.1371/journal.pone.0178548,"Zahini et al. (2017), https://doi.org/10.1371/journal.pone.0178548",2020-10-15,2020-10-15,,'Introduced' based on DNA analysis. ITIS lists as native.,USRIIS-L48-Animalia12997
