species,migratory
Protographium leosthenes,1
Protographium philolaus,1
Pseudochazara telephassa,1
Pseudolycaena marsyas,1
Pseudoscada timna,1
Psychonotis caelius,1
Pteronymia adina,1
Pteronymia aletta,1
Pteronymia artena,1
Pteronymia asopo,1
Pteronymia nubivaga,1
Pteronymia veia,1
Pyrgus communis,1
Pyrgus malvae,1
Pyrgus scriptura,1
Pyronia tithonus,1
Rapala manea,1
Rhabdodryas trite,1
Salamis cacta,1
Salamis parhassus,1
Sallya garega,1
Sarangesa dasahara,1
Selenophanes cassiope,1
Sevenia amulia,1
Sevenia boisduvali,1
Sevenia natalensis,1
Sevenia occidentalium,1
Siproeta stelenes,1
Smyrna blomfildia,1
Smyrna karwinskii,1
Speyeria callippe,1
Spindasis nipalicus,1
Strymon melinus,1
Tagiades distans,1
Tagiades japetus,1
Tagiades litigiosa,1
Taractrocera ceramas,1
Tarucus theophrastus,1
Telicota eurychlora,1
Theclinesthes onycha,1
Thymelicus lineola,1
Thyridia psidii,1
Tirumala formosa,1
Tirumala hamata,
Tirumala limniace,1
Tirumala petiverana,1
Tirumala septentrionis,1
Tithorea harmonia,1
Tmolus beon,1
Troides darsius,1
Urbanus dorantes,1
Urbanus simplicius,
Vagrans egista,1
Vanessa annabella,1
Vanessa carye,1
Vanessa indica,1
Vanessa itea,1
Vanessa kershawi,1
Vindula erota,1
Yoma sabina,1
Ypthima asterope,1
Ypthima bolanica,1
Ypthima huebneri,1
Ypthima ypthimoides,1
Zegris eupheme,1
Zerene cesonia,1
Zizeeria karsandra,
Zizina labradus,1
Zizina otis,1
