new_id,nearest_dist,avg_dist_all,avg_dist_100m,avg_dist_500m,avg_dist_1000m,avg_dist_2000m
253,137.1093701,19605.97891,NA,238.5528454,718.5741149,993.5836294
254,78.79291758,17407.9437,78.79291758,221.668647,484.1857793,1120.487919
255,1040.002933,25184.72887,NA,NA,NA,1197.258683
256,531.121692,23608.16474,NA,NA,531.121692,1478.803015
257,35.29384006,18206.96945,36.53452491,116.2984615,116.2984615,720.9713905
258,216.8547835,21910.53815,NA,216.8547835,411.8499487,855.1940382
259,246.1160242,16543.11535,NA,256.091258,418.360571,1120.951308
260,130.3489685,19548.08457,NA,130.3489685,642.2730901,1092.09008
261,165.1691059,16664.35193,NA,165.1691059,165.1691059,1320.2301
262,1162.214906,18021.61157,NA,NA,NA,1506.272212
263,88.03720102,17103.90672,88.03720102,278.5929725,558.0205984,991.155763
264,120.6456503,17267.31182,NA,282.2182934,397.5849926,1123.767325
265,887.0354234,23839.79896,NA,NA,887.0354234,1497.202694
266,151.5132356,29058.33127,NA,151.5132356,679.4046055,1015.229109
267,129.7952023,19563.72533,NA,129.7952023,595.3995593,1069.726722
268,217.2978242,18163.14569,NA,399.792133,542.2095158,1099.129033
