"","city","mean_park_size_sqm","median_park_size_sqm","mean_log_park_size","median_log_park_size","mean_isolation","IIC","percent_grass_shrub","percent_tree","percent_semi_natural","total_area_sqm","latitude","longitude","city_factor","log_IIC","mean_connectivity","log_park_size_scaled","log_IIC_scaled","connectivity_scaled","percent_tree_scaled","percent_grassshrub_scaled","log_total_area","log_total_area_scaled","latitude_scaled","longitude_scaled"
"11","Houston",288314.3804,12104.58664,9.487312338,9.401333347,0.135678171,0.001234274,0.0692857419412444,0.10261062058395,0.171896362525194,5695063500,29.7,-95.358421,11,-6.69727233600726,-0.135678171,0.453900643913422,0.0554716463778512,-1.338608160916,-0.509532100839773,-0.418220101821045,22.4628655839151,1.37149822477102,-1.58241110914948,-0.128993695472271
"12","LA",178600.8765,10830.24279,9.227560246,9.290083825,0.08128685,0.001239894,0.0943394119366871,0.0755228993850459,0.169862311321733,3322183100,34.05,-118.24368,12,-6.69272938689011,-0.08128685,0.347425594245031,0.05846999314379,-0.301322895626495,-0.816038796690684,-0.161611508376257,21.9238879640178,0.919449464971456,-0.622188275178233,-1.56707359077808
"13","Minneapolis",48051.19547,12218.78955,8.930432707,9.410730173,0.026859924,0.003801077,0.0847407030993503,0.287444818767161,0.372185521866511,191278800,44.98,-93.15,13,-5.57247083135332,-0.026859924,0.462894188308833,0.79784072576506,0.736641385013097,1.58192915385158,-0.259924896158689,19.0692426075689,-1.47478518487561,1.79050955822538,0.00978060638164969
"14","NYC",24362.90942,2208.337825,7.62560257,7.699995396,0.014497188,0.000880573,0.0362994246541804,0.121679214102093,0.157978638756274,1960560000,40.7,-73.935242,14,-7.03493772602569,-0.014497188,-1.17442134416168,-0.167387536946253,0.972408482698849,-0.293764537712059,-0.756077688493843,21.396495983666,0.477117757967243,0.845738585950223,1.21721099521695
"15","Philadelphia",69641.76806,8434.502203,8.914203459,9.040083783,0.031871687,0.002217111,0.076460146513839,0.109101212033504,0.185561358547343,818830500,39.95,-75.1652,15,-6.11155028194231,-0.031871687,0.108154751453903,0.44204824700817,0.641063123308015,-0.436088870797905,-0.34473730003942,20.5233876606913,-0.255171524557312,0.680182924920698,1.13992203502338
"16","Phoenix",767305.7352,38304.54321,10.51180171,10.55326831,0.192902641,0.004029059,0.221262949052908,0.0303814890105734,0.251644438063481,2599398600,33.5,-112.07404,16,-5.51422242904793,-0.192902641,1.55639825644413,0.836284675756516,-2.42992380564912,-1.32682907093825,1.13838447386328,21.6785459475258,0.71367736945653,-0.743595759933218,-1.17938144164075
"17","Raleigh",170848.8851,13786.65379,9.61716802,9.531453602,0.078254468,0.002258455,0.0793289956592309,0.288867999206254,0.368196994865485,926241400,35.78,-78.644257,17,-6.09307432779692,-0.078254468,0.578436555303575,0.454242378161944,-0.243492986194269,1.59803292023278,-0.315353527357085,20.6466454497811,-0.15179333474616,-0.240306550403461,0.921302620389575
"18","Riverside",160674.9171,22369.08164,9.760131622,10.015435,0.143289834,0.001406147,0.180672320305499,0.118552764193266,0.299225084498765,376041000,34,-117.396156,18,-6.56690193913849,-0.143289834,1.04164702546297,0.141516118315672,-1.48376856020561,-0.329141372266041,0.722640826253692,19.7452087379627,-0.90784206955813,-0.633225319246868,-1.51381628548872
"19","SD",158853.5652,11027.53927,9.387221703,9.308150993,0.038245699,0.001738298,0.168106781571728,0.0474789678595953,0.215585749431323,2262180600,32.7,-117.161087,19,-6.35484880538683,-0.038245699,0.364717377396847,0.281471202864415,0.519505701888181,-1.13336533469725,0.593940112109398,21.539595052302,0.597137131902876,-0.920188465031377,-1.49904485542058
"20","SF",37902.76105,2466.579683,7.746900989,7.810587327,0.015003676,0.009117959,0.0515698356807512,0.0624572900365154,0.114027125717267,306720000,37.7,-122.431297,20,-4.69750929380113,-0.015003676,-1.06857566379869,1.37531540769277,0.962749358232172,-0.963880570507338,-0.599672710877195,19.5414458372616,-1.07874112576127,0.183515941832123,-1.83021799377308
"21","St_louis",29521.31164,1610.694798,7.731029708,7.38441416,0.023348392,0.002416452,0.0845132167669524,0.115286326823393,0.199799543590346,347407200,38.6,-90.199402,21,-6.02545493031527,-0.023348392,-1.47645884664653,0.498871185688842,0.803609061753152,-0.366102212127467,-0.262254892035347,19.6660081369451,-0.974268822995832,0.382182735067553,0.195192345131451
"22","Tampa",79664.27318,8781.948509,9.244508032,9.080390535,0.066339721,0.00066019,0.0525078648060015,0.0858001263746605,0.138307991180662,1487640000,28,-82.452606,22,-7.32298288558507,-0.066339721,0.146731667057833,-0.357497364359606,-0.0162693910410591,-0.699748509147999,-0.590065083153013,21.1204568086023,0.245599486823821,-1.95767060748307,0.681990924978656
